Title,Body (HTML),Vendor,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Compare At Price,Variant Price,Image Src,Variant Image,Variant Inventory Qty,Style ID (product.metafields.custom.style_id),Color (product.metafields.custom.color),Style (product.metafields.custom.style),Material (product.metafields.custom.material),Construction (product.metafields.custom.construction),Thickness (product.metafields.custom.thickness),Fringe (product.metafields.custom.fringe),Location (product.metafields.custom.location),Designer (product.metafields.custom.designer),Made In (product.metafields.custom.made_in),Custom Sizes (product.metafields.custom.custom_sizes),Sample Size (product.metafields.custom.sample_size),Rug Pad (product.metafields.custom.rug_pad)
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_1.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_2.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_3.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Beige, Bronze ",Size,"2'2"" x 8' Rectangular runner",251.00,119.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",1.0,Kimball,"Beige, Bronze (MLI-03)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Beige, Bronze ",Size,"5' x 7'6"" Rectangular",645.00,325.5,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",1.0,Kimball,"Beige, Bronze (MLI-03)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Beige, Bronze ",Size,"6'7"" x 9'6"" Rectangular",780.00,371.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",1.0,Kimball,"Beige, Bronze (MLI-03)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Beige, Bronze ",Size,"7'10"" x 10'6"" Rectangular",980.00,490.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",1.0,Kimball,"Beige, Bronze (MLI-03)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Beige, Bronze ",Size,"9'6"" x 13' Rectangular","1,725.00",819.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03_rug151724_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231914/ws_mli03.jpg",1.0,Kimball,"Beige, Bronze (MLI-03)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Dark Blue, Ivory ",Size,"18"" x 18"" sample",,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_4.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04.jpg",1.0,Kimball,"Dark Blue, Ivory (MLI-04)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_1.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_2.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_3.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,,,,,,,,,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_rug151729_rnr.jpg",,,,,,,,,,,,,,,
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Dark Blue, Ivory ",Size,"2'2"" x 8' Rectangular runner",251.00,119.0,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_rug151729_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04.jpg",1.0,Kimball,"Dark Blue, Ivory (MLI-04)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
Malilla - Kimball Area Rug,"<div class=""product-overview-data"">
<p><p>Embrace your love for luxury and adventure with the Kimball area rug by Jaipur Living. While this piece boasts a high-end look, it may surprise with its exceptional practicality – this piece is part of the Malilla By Nikki Chu collection, a series of easy-care synthetic area rugs that hold up well to active home lifestyles.</p><ul><li>Malilla is a collection by star-powered interior designer Nikki Chu, each rug an apt reflection of her signature style that blends glamour with everyday comfort. </li><li> This contemporary area rug boasts a striking leopard pattern expressed through rich tonal variation. Lustrous fibers capture the light to lend this piece a luminous sheen to elevate the atmosphere of any room.</li><li> Kimball is a fully synthetic area rug made using a combination of polyester and polypropylene, power loomed for exceptional precision and consistency. This piece is child-friendly and pet-friendly for its resistance against staining and wear. </li><li> Quickly blot away spills with a dry white cloth. Treat difficult soil with a mixture of water, white vinegar, and a dash of mild soap.</li></ul></p>
</div>",Nikki Chu by Jaipur Living,Color,"Dark Blue, Ivory ",Size,"5' x 7'6"" Rectangular",645.00,325.5,"https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04_rug151729_rnr.jpg","https://image1.rugs-direct.com/cdn-cgi/image/width=1200,height=1200/rug_gallery/00328/19419/144248/231915/ws_mli04.jpg",1.0,Kimball,"Dark Blue, Ivory (MLI-04)",Animals / Animal Skins,"65% Polyester, 35% Polypropylene",Machine-Made,"1⁄3"" (approx.)",No decorative fringe,Indoor Only,Nikki Chu,Turkey,Not available,Yes. Use that credit towards a 5x8 area rug and larger,Recommended
